"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.8509e+06,1,7.2e-08,7.2e-08,0,0
8.8382e+06,1,7.22e-08,7.22e-08,0,0
8.8256e+06,1,7.24e-08,7.24e-08,0,0
8.8131e+06,1,7.26e-08,7.26e-08,0,0
8.8005e+06,1,7.28e-08,7.28e-08,0,0
8.788e+06,1,7.3e-08,7.3e-08,0,0
8.7754e+06,1,7.32e-08,7.32e-08,0,0
8.763e+06,1,7.34e-08,7.34e-08,0,0
8.7505e+06,1,7.36e-08,7.36e-08,0,0
8.7381e+06,1,7.38e-08,7.38e-08,0,0
8.7257e+06,1,7.4e-08,7.4e-08,0,0
8.7132e+06,1,7.42e-08,7.42e-08,0,0
8.7009e+06,1,7.44e-08,7.44e-08,0,0
8.6885e+06,1,7.46e-08,7.46e-08,0,0
8.6762e+06,1,7.48e-08,7.48e-08,0,0
8.6638e+06,1,7.5e-08,7.5e-08,0,0
8.6515e+06,1,7.52e-08,7.52e-08,0,0
8.6393e+06,1,7.54e-08,7.54e-08,0,0
8.627e+06,1,7.56e-08,7.56e-08,0,0
8.6148e+06,1,7.58e-08,7.58e-08,0,0
8.6026e+06,1,7.6e-08,7.6e-08,0,0
8.5904e+06,1,7.62e-08,7.62e-08,0,0
8.5782e+06,1,7.64e-08,7.64e-08,0,0
8.5661e+06,1,7.66e-08,7.66e-08,0,0
8.554e+06,1,7.68e-08,7.68e-08,0,0
8.5418e+06,1,7.7e-08,7.7e-08,0,0
8.5297e+06,1,7.72e-08,7.72e-08,0,0
8.5177e+06,1,7.74e-08,7.74e-08,0,0
8.5057e+06,1,7.76e-08,7.76e-08,0,0
8.4936e+06,1,7.78e-08,7.78e-08,0,0
8.4816e+06,1,7.8e-08,7.8e-08,0,0
8.4696e+06,1,7.82e-08,7.82e-08,0,0
8.4577e+06,1,7.84e-08,7.84e-08,0,0
8.4458e+06,1,7.86e-08,7.86e-08,0,0
8.4338e+06,1,7.88e-08,7.88e-08,0,0
8.4219e+06,1,7.9e-08,7.9e-08,0,0
8.41e+06,1,7.92e-08,7.92e-08,0,0
8.3982e+06,1,7.94e-08,7.94e-08,0,0
8.3864e+06,1,7.96e-08,7.96e-08,0,0
8.3745e+06,1,7.98e-08,7.98e-08,0,0
8.3627e+06,1,8e-08,8e-08,0,0
8.3509e+06,1,8.02e-08,8.02e-08,0,0
8.3392e+06,1,8.04e-08,8.04e-08,0,0
8.3275e+06,1,8.06e-08,8.06e-08,0,0
8.3158e+06,1,8.08e-08,8.08e-08,0,0
8.304e+06,1,8.1e-08,8.1e-08,0,0
8.2924e+06,1,8.12e-08,8.12e-08,0,0
8.2808e+06,1,8.14e-08,8.14e-08,0,0
8.2691e+06,1,8.16e-08,8.16e-08,0,0
8.2575e+06,1,8.18e-08,8.18e-08,0,0
8.2459e+06,1,8.2e-08,8.2e-08,0,0
8.2343e+06,1,8.22e-08,8.22e-08,0,0
8.2228e+06,1,8.24e-08,8.24e-08,0,0
8.2113e+06,1,8.26e-08,8.26e-08,0,0
8.1997e+06,1,8.28e-08,8.28e-08,0,0
8.1882e+06,1,8.3e-08,8.3e-08,0,0
8.1768e+06,1,8.32e-08,8.32e-08,0,0
8.1653e+06,1,8.34e-08,8.34e-08,0,0
8.1539e+06,1,8.36e-08,8.36e-08,0,0
8.1425e+06,1,8.38e-08,8.38e-08,0,0
8.1311e+06,1,8.4e-08,8.4e-08,0,0
8.1197e+06,1,8.42e-08,8.42e-08,0,0
8.1084e+06,1,8.44e-08,8.44e-08,0,0
