"arc_length","1","2","3","4","5","6","cb"
5.4e-09,2.02947e+21,4.92722e+18,3.05726e+16,1.29113e+14,7.62711e+11,1.32642e+11,8.06969e+19
5.43e-09,2.02675e+21,4.94289e+18,3.06999e+16,1.29673e+14,7.66042e+11,1.33222e+11,8.09388e+19
5.46e-09,2.02403e+21,4.95856e+18,3.08271e+16,1.30232e+14,7.69374e+11,1.33803e+11,8.11808e+19
5.49e-09,2.02132e+21,4.97423e+18,3.09543e+16,1.30792e+14,7.72705e+11,1.34383e+11,8.14227e+19
5.52e-09,2.0186e+21,4.9899e+18,3.10815e+16,1.31352e+14,7.76036e+11,1.34963e+11,8.16647e+19
5.55e-09,2.01588e+21,5.00557e+18,3.12087e+16,1.31911e+14,7.79368e+11,1.35543e+11,8.19066e+19
5.58e-09,2.01316e+21,5.02124e+18,3.13359e+16,1.32471e+14,7.82699e+11,1.36124e+11,8.21486e+19
5.61e-09,2.01044e+21,5.03691e+18,3.14632e+16,1.3303e+14,7.8603e+11,1.36704e+11,8.23905e+19
5.64e-09,2.00772e+21,5.05257e+18,3.15904e+16,1.3359e+14,7.89361e+11,1.37284e+11,8.26325e+19
5.67e-09,2.00501e+21,5.06824e+18,3.17176e+16,1.3415e+14,7.92693e+11,1.37864e+11,8.28744e+19
5.7e-09,2.00229e+21,5.08391e+18,3.18448e+16,1.34709e+14,7.96024e+11,1.38445e+11,8.31164e+19
5.73e-09,1.99957e+21,5.09958e+18,3.1972e+16,1.35269e+14,7.99355e+11,1.39025e+11,8.33583e+19
5.76e-09,1.99685e+21,5.11525e+18,3.20992e+16,1.35828e+14,8.02687e+11,1.39605e+11,8.36003e+19
5.79e-09,1.99413e+21,5.13092e+18,3.22264e+16,1.36388e+14,8.06018e+11,1.40185e+11,8.38422e+19
5.82e-09,1.99141e+21,5.14659e+18,3.23537e+16,1.36948e+14,8.09349e+11,1.40766e+11,8.40842e+19
5.85e-09,1.98869e+21,5.16226e+18,3.24809e+16,1.37507e+14,8.1268e+11,1.41346e+11,8.43261e+19
5.88e-09,1.98598e+21,5.17793e+18,3.26081e+16,1.38067e+14,8.16012e+11,1.41926e+11,8.45681e+19
5.91e-09,1.98326e+21,5.1936e+18,3.27353e+16,1.38626e+14,8.19343e+11,1.42506e+11,8.481e+19
5.94e-09,1.98054e+21,5.20927e+18,3.28625e+16,1.39186e+14,8.22674e+11,1.43087e+11,8.5052e+19
5.97e-09,1.97782e+21,5.22493e+18,3.29897e+16,1.39746e+14,8.26006e+11,1.43667e+11,8.52939e+19
6e-09,1.9751e+21,5.2406e+18,3.3117e+16,1.40305e+14,8.29337e+11,1.44247e+11,8.55359e+19
6.03e-09,1.97241e+21,5.2541e+18,3.32328e+16,1.4082e+14,8.32411e+11,1.44783e+11,8.57346e+19
6.06e-09,1.96971e+21,5.2676e+18,3.33487e+16,1.41336e+14,8.35485e+11,1.45318e+11,8.59334e+19
6.09e-09,1.96701e+21,5.2811e+18,3.34645e+16,1.41851e+14,8.38559e+11,1.45854e+11,8.61322e+19
6.12e-09,1.96431e+21,5.29459e+18,3.35804e+16,1.42366e+14,8.41633e+11,1.4639e+11,8.6331e+19
6.15e-09,1.96161e+21,5.30809e+18,3.36962e+16,1.42881e+14,8.44707e+11,1.46926e+11,8.65298e+19
6.18e-09,1.95892e+21,5.32159e+18,3.38121e+16,1.43396e+14,8.47781e+11,1.47461e+11,8.67285e+19
6.21e-09,1.95622e+21,5.33508e+18,3.39279e+16,1.43912e+14,8.50855e+11,1.47997e+11,8.69273e+19
6.24e-09,1.95352e+21,5.34858e+18,3.40438e+16,1.44427e+14,8.53929e+11,1.48533e+11,8.71261e+19
6.27e-09,1.95082e+21,5.36208e+18,3.41596e+16,1.44942e+14,8.57002e+11,1.49068e+11,8.73249e+19
6.3e-09,1.94812e+21,5.37558e+18,3.42755e+16,1.45457e+14,8.60076e+11,1.49604e+11,8.75236e+19
6.33e-09,1.94543e+21,5.38907e+18,3.43913e+16,1.45972e+14,8.6315e+11,1.5014e+11,8.77224e+19
6.36e-09,1.94273e+21,5.40257e+18,3.45072e+16,1.46487e+14,8.66224e+11,1.50675e+11,8.79212e+19
6.39e-09,1.94003e+21,5.41607e+18,3.46231e+16,1.47003e+14,8.69298e+11,1.51211e+11,8.812e+19
6.42e-09,1.93733e+21,5.42957e+18,3.47389e+16,1.47518e+14,8.72372e+11,1.51747e+11,8.83188e+19
6.45e-09,1.93464e+21,5.44306e+18,3.48548e+16,1.48033e+14,8.75446e+11,1.52282e+11,8.85175e+19
6.48e-09,1.93194e+21,5.45656e+18,3.49706e+16,1.48548e+14,8.7852e+11,1.52818e+11,8.87163e+19
