"arc_length","2","3","4","1","6","cb","5"
9.5e-08,8.13722e+17,3.00093e+17,3.9243e+16,6.61985e+20,7.80446e+15,2.37931e+21,7.48893e+15
9.55e-08,8.03501e+17,2.98883e+17,3.92062e+16,6.57843e+20,7.81378e+15,2.37919e+21,7.49542e+15
9.6e-08,7.93445e+17,2.97674e+17,3.91682e+16,6.53739e+20,7.82285e+15,2.37901e+21,7.50166e+15
9.65e-08,7.83501e+17,2.96467e+17,3.91294e+16,6.4966e+20,7.83173e+15,2.37878e+21,7.50773e+15
9.7e-08,7.73731e+17,2.95261e+17,3.90895e+16,6.45621e+20,7.84033e+15,2.37848e+21,7.51352e+15
9.75e-08,7.64058e+17,2.94056e+17,3.90488e+16,6.41605e+20,7.84878e+15,2.37814e+21,7.51916e+15
9.8e-08,7.54565e+17,2.92853e+17,3.90068e+16,6.3763e+20,7.85693e+15,2.37772e+21,7.52452e+15
9.85e-08,7.45155e+17,2.91652e+17,3.89643e+16,6.33674e+20,7.86495e+15,2.37727e+21,7.52975e+15
9.9e-08,7.35931e+17,2.90453e+17,3.89204e+16,6.29762e+20,7.87266e+15,2.37675e+21,7.53467e+15
9.95e-08,7.26775e+17,2.89255e+17,3.88761e+16,6.25867e+20,7.88025e+15,2.3762e+21,7.53949e+15
1e-07,7.17812e+17,2.8806e+17,3.88304e+16,6.22017e+20,7.88753e+15,2.37557e+21,7.54399e+15
1.005e-07,7.08903e+17,2.86865e+17,3.87843e+16,6.1818e+20,7.89471e+15,2.37491e+21,7.54841e+15
1.01e-07,7.00194e+17,2.85674e+17,3.87369e+16,6.14391e+20,7.90155e+15,2.37418e+21,7.5525e+15
1.015e-07,6.91526e+17,2.84484e+17,3.86892e+16,6.10613e+20,7.90833e+15,2.37342e+21,7.55652e+15
1.02e-07,6.83061e+17,2.83298e+17,3.864e+16,6.06884e+20,7.91475e+15,2.37259e+21,7.5602e+15
1.025e-07,6.74627e+17,2.82112e+17,3.85906e+16,6.03162e+20,7.92113e+15,2.37174e+21,7.56384e+15
1.03e-07,6.66401e+17,2.8093e+17,3.85398e+16,5.99492e+20,7.92714e+15,2.3708e+21,7.56713e+15
1.035e-07,6.58193e+17,2.79749e+17,3.84889e+16,5.95827e+20,7.93312e+15,2.36986e+21,7.57039e+15
1.04e-07,6.50198e+17,2.78572e+17,3.84365e+16,5.92215e+20,7.93873e+15,2.36883e+21,7.57329e+15
1.045e-07,6.42214e+17,2.77395e+17,3.8384e+16,5.88605e+20,7.94432e+15,2.36779e+21,7.57617e+15
1.05e-07,6.3444e+17,2.76224e+17,3.83301e+16,5.85049e+20,7.94954e+15,2.36667e+21,7.5787e+15
1.055e-07,6.26679e+17,2.75053e+17,3.82761e+16,5.81497e+20,7.95474e+15,2.36554e+21,7.5812e+15
1.06e-07,6.19112e+17,2.73887e+17,3.82208e+16,5.77994e+20,7.95958e+15,2.36433e+21,7.58337e+15
1.065e-07,6.11568e+17,2.72721e+17,3.81653e+16,5.74497e+20,7.96439e+15,2.36311e+21,7.5855e+15
1.07e-07,6.04204e+17,2.7156e+17,3.81086e+16,5.71047e+20,7.96887e+15,2.36182e+21,7.58732e+15
1.075e-07,5.9687e+17,2.704e+17,3.80518e+16,5.67605e+20,7.97329e+15,2.36051e+21,7.58909e+15
1.08e-07,5.89702e+17,2.69245e+17,3.79938e+16,5.64207e+20,7.97741e+15,2.35914e+21,7.59056e+15
1.085e-07,5.82572e+17,2.68091e+17,3.79355e+16,5.60819e+20,7.98146e+15,2.35775e+21,7.59197e+15
1.09e-07,5.75594e+17,2.66942e+17,3.78762e+16,5.57472e+20,7.98523e+15,2.3563e+21,7.59312e+15
1.095e-07,5.68663e+17,2.65794e+17,3.78167e+16,5.54137e+20,7.98892e+15,2.35482e+21,7.59418e+15
1.1e-07,5.6187e+17,2.64651e+17,3.77562e+16,5.50839e+20,7.99234e+15,2.35329e+21,7.59499e+15
1.105e-07,5.5513e+17,2.63509e+17,3.76953e+16,5.47556e+20,7.99566e+15,2.35174e+21,7.59571e+15
