"arc_length","2","3","4","1","6","cb","5"
7.95e-08,8.58929e+18,3.88261e+18,1.39355e+18,2.19835e+21,8.61874e+17,6.0284e+18,7.78533e+17
8e-08,8.58241e+18,3.8941e+18,1.40011e+18,2.19746e+21,8.66458e+17,6.05566e+18,7.8268e+17
8.05e-08,8.57553e+18,3.90541e+18,1.40661e+18,2.19658e+21,8.7102e+17,6.08267e+18,7.86808e+17
8.1e-08,8.56866e+18,3.9167e+18,1.41311e+18,2.19569e+21,8.75578e+17,6.10963e+18,7.90931e+17
8.15e-08,8.56178e+18,3.92779e+18,1.41956e+18,2.1948e+21,8.80111e+17,6.13633e+18,7.95033e+17
8.2e-08,8.55491e+18,3.93886e+18,1.426e+18,2.19391e+21,8.84642e+17,6.163e+18,7.99132e+17
8.25e-08,8.54805e+18,3.94973e+18,1.43238e+18,2.19302e+21,8.89146e+17,6.18939e+18,8.03208e+17
8.3e-08,8.54118e+18,3.96059e+18,1.43875e+18,2.19214e+21,8.93649e+17,6.21576e+18,8.07283e+17
8.35e-08,8.53432e+18,3.97125e+18,1.44507e+18,2.19125e+21,8.98124e+17,6.24184e+18,8.11333e+17
8.4e-08,8.52747e+18,3.98189e+18,1.45139e+18,2.19036e+21,9.02599e+17,6.26791e+18,8.15382e+17
8.45e-08,8.52061e+18,3.99235e+18,1.45764e+18,2.18947e+21,9.07046e+17,6.29369e+18,8.19408e+17
8.5e-08,8.51376e+18,4.00278e+18,1.46389e+18,2.18859e+21,9.11491e+17,6.31945e+18,8.23431e+17
8.55e-08,8.50692e+18,4.01303e+18,1.47009e+18,2.1877e+21,9.15911e+17,6.34493e+18,8.27432e+17
8.6e-08,8.50007e+18,4.02326e+18,1.47628e+18,2.18681e+21,9.20327e+17,6.37038e+18,8.31429e+17
8.65e-08,8.49323e+18,4.03331e+18,1.48241e+18,2.18593e+21,9.24718e+17,6.39557e+18,8.35405e+17
8.7e-08,8.48639e+18,4.04334e+18,1.48853e+18,2.18504e+21,9.29105e+17,6.4207e+18,8.39376e+17
8.75e-08,8.47956e+18,4.0532e+18,1.49461e+18,2.18416e+21,9.33468e+17,6.4456e+18,8.43327e+17
8.8e-08,8.47273e+18,4.06301e+18,1.50067e+18,2.18327e+21,9.37826e+17,6.47042e+18,8.47272e+17
8.85e-08,8.46591e+18,4.07268e+18,1.50668e+18,2.18238e+21,9.42161e+17,6.49502e+18,8.51198e+17
8.9e-08,8.45908e+18,4.0823e+18,1.51268e+18,2.1815e+21,9.46488e+17,6.51954e+18,8.55117e+17
8.95e-08,8.45226e+18,4.09178e+18,1.51864e+18,2.18061e+21,9.50795e+17,6.54384e+18,8.59017e+17
9e-08,8.44545e+18,4.1012e+18,1.52457e+18,2.17973e+21,9.55093e+17,6.56805e+18,8.6291e+17
9.05e-08,8.43864e+18,4.11049e+18,1.53047e+18,2.17884e+21,9.59371e+17,6.59206e+18,8.66785e+17
9.1e-08,8.43183e+18,4.11972e+18,1.53634e+18,2.17796e+21,9.63639e+17,6.61596e+18,8.70651e+17
9.15e-08,8.42502e+18,4.12882e+18,1.54217e+18,2.17708e+21,9.67889e+17,6.63968e+18,8.74501e+17
9.2e-08,8.41822e+18,4.13786e+18,1.54798e+18,2.17619e+21,9.72127e+17,6.66327e+18,8.7834e+17
9.25e-08,8.41142e+18,4.14678e+18,1.55376e+18,2.17531e+21,9.76348e+17,6.68669e+18,8.82165e+17
9.3e-08,8.40463e+18,4.15563e+18,1.5595e+18,2.17442e+21,9.80555e+17,6.70997e+18,8.85977e+17
9.35e-08,8.39784e+18,4.16438e+18,1.56522e+18,2.17354e+21,9.84748e+17,6.7331e+18,8.89776e+17
9.4e-08,8.39105e+18,4.17304e+18,1.5709e+18,2.17266e+21,9.88925e+17,6.75608e+18,8.93562e+17
9.45e-08,8.38427e+18,4.18161e+18,1.57656e+18,2.17177e+21,9.93089e+17,6.77891e+18,8.97336e+17
9.5e-08,8.37749e+18,4.19008e+18,1.58218e+18,2.17089e+21,9.97236e+17,6.80158e+18,9.01095e+17
9.55e-08,8.37072e+18,4.19848e+18,1.58778e+18,2.17001e+21,1.00137e+18,6.82412e+18,9.04842e+17
9.6e-08,8.36395e+18,4.20677e+18,1.59334e+18,2.16912e+21,1.00549e+18,6.84648e+18,9.08575e+17
9.65e-08,8.35718e+18,4.215e+18,1.59888e+18,2.16824e+21,1.00959e+18,6.86872e+18,9.12297e+17
9.7e-08,8.35042e+18,4.22312e+18,1.60438e+18,2.16736e+21,1.01368e+18,6.89078e+18,9.16002e+17
9.75e-08,8.34366e+18,4.23117e+18,1.60985e+18,2.16647e+21,1.01776e+18,6.91273e+18,9.19698e+17
9.8e-08,8.3369e+18,4.23911e+18,1.61529e+18,2.16559e+21,1.02181e+18,6.93449e+18,9.23376e+17
9.85e-08,8.33015e+18,4.247e+18,1.62071e+18,2.16471e+21,1.02586e+18,6.95615e+18,9.27046e+17
9.9e-08,8.3234e+18,4.25477e+18,1.62609e+18,2.16383e+21,1.02988e+18,6.97759e+18,9.30697e+17
9.95e-08,8.31665e+18,4.26249e+18,1.63145e+18,2.16295e+21,1.0339e+18,6.99896e+18,9.34342e+17
1e-07,8.30991e+18,4.27009e+18,1.63676e+18,2.16207e+21,1.0379e+18,7.02011e+18,9.37966e+17
1.005e-07,8.30318e+18,4.27765e+18,1.64206e+18,2.16118e+21,1.04188e+18,7.04119e+18,9.41584e+17
1.01e-07,8.29644e+18,4.28508e+18,1.64732e+18,2.1603e+21,1.04585e+18,7.06203e+18,9.45181e+17
1.015e-07,8.28971e+18,4.29248e+18,1.65256e+18,2.15942e+21,1.04981e+18,7.08281e+18,9.48773e+17
1.02e-07,8.28299e+18,4.29974e+18,1.65776e+18,2.15854e+21,1.05374e+18,7.10335e+18,9.52342e+17
1.025e-07,8.27627e+18,4.30698e+18,1.66294e+18,2.15766e+21,1.05767e+18,7.12385e+18,9.55908e+17
1.03e-07,8.26955e+18,4.31408e+18,1.66808e+18,2.15678e+21,1.06157e+18,7.14408e+18,9.5945e+17
1.035e-07,8.26283e+18,4.32117e+18,1.6732e+18,2.1559e+21,1.06547e+18,7.1643e+18,9.6299e+17
1.04e-07,8.25613e+18,4.32811e+18,1.67828e+18,2.15502e+21,1.06934e+18,7.18423e+18,9.66505e+17
1.045e-07,8.24942e+18,4.33504e+18,1.68335e+18,2.15414e+21,1.07321e+18,7.20415e+18,9.70018e+17
1.05e-07,8.24272e+18,4.34182e+18,1.68836e+18,2.15326e+21,1.07705e+18,7.22378e+18,9.73506e+17
1.055e-07,8.23602e+18,4.34859e+18,1.69337e+18,2.15238e+21,1.08089e+18,7.2434e+18,9.76992e+17
1.06e-07,8.22932e+18,4.35522e+18,1.69833e+18,2.1515e+21,1.0847e+18,7.26275e+18,9.80453e+17
1.065e-07,8.22263e+18,4.36184e+18,1.70328e+18,2.15062e+21,1.08851e+18,7.28207e+18,9.83912e+17
1.07e-07,8.21595e+18,4.36832e+18,1.70817e+18,2.14974e+21,1.09229e+18,7.30114e+18,9.87346e+17
1.075e-07,8.20926e+18,4.37478e+18,1.71307e+18,2.14886e+21,1.09607e+18,7.32016e+18,9.90777e+17
1.08e-07,8.20258e+18,4.38112e+18,1.71791e+18,2.14799e+21,1.09982e+18,7.33894e+18,9.94186e+17
1.085e-07,8.19591e+18,4.38743e+18,1.72274e+18,2.14711e+21,1.10356e+18,7.35766e+18,9.97589e+17
1.09e-07,8.18924e+18,4.39362e+18,1.72753e+18,2.14623e+21,1.10728e+18,7.37615e+18,1.00097e+18
1.095e-07,8.18257e+18,4.39978e+18,1.7323e+18,2.14535e+21,1.111e+18,7.39458e+18,1.00435e+18
1.1e-07,8.1759e+18,4.40583e+18,1.73703e+18,2.14447e+21,1.11469e+18,7.41279e+18,1.0077e+18
1.105e-07,8.16924e+18,4.41185e+18,1.74174e+18,2.14359e+21,1.11837e+18,7.43092e+18,1.01105e+18
